2016-02-08,0.65,0.65,0.62,0.63,608852800
2016-02-09,0.62,0.66,0.62,0.64,425372560
2016-02-10,0.64,0.66,0.63,0.64,335799200
2016-02-11,0.62,0.64,0.62,0.63,340145400
2016-02-12,0.64,0.64,0.62,0.64,340814680
2016-02-16,0.65,0.68,0.65,0.67,485351800
2016-02-17,0.68,0.7,0.68,0.69,771466640
2016-02-18,0.75,0.77,0.75,0.75,1068659560
2016-02-19,0.75,0.77,0.74,0.76,525629280
2016-02-22,0.77,0.8,0.77,0.79,449667880
2016-02-23,0.78,0.8,0.78,0.79,369378000
2016-02-24,0.79,0.8,0.77,0.8,336853440
2016-02-25,0.8,0.8,0.78,0.8,349614680
2016-02-26,0.8,0.8,0.78,0.79,361962920
2016-02-29,0.79,0.8,0.78,0.78,323344720
2016-03-01,0.79,0.82,0.78,0.82,348700480
2016-03-02,0.81,0.83,0.81,0.82,233837320
2016-03-03,0.82,0.83,0.81,0.82,302003520
2016-03-04,0.82,0.82,0.81,0.81,175305360
2016-03-07,0.81,0.81,0.8,0.81,240219800
2016-03-08,0.8,0.81,0.79,0.79,274939120
2016-03-09,0.8,0.8,0.78,0.79,222789480
2016-03-10,0.8,0.8,0.78,0.79,286085480
2016-03-11,0.8,0.81,0.79,0.81,277399440
2016-03-14,0.8,0.81,0.8,0.81,190314720
2016-03-15,0.8,0.81,0.79,0.8,226216800
2016-03-16,0.8,0.83,0.79,0.83,363642720
2016-03-17,0.82,0.83,0.81,0.82,353678360
2016-03-18,0.83,0.86,0.83,0.85,545512080
2016-03-21,0.84,0.85,0.83,0.85,337781560
2016-03-22,0.85,0.85,0.84,0.85,242010640
2016-03-23,0.85,0.87,0.85,0.86,429006840
2016-03-24,0.85,0.86,0.85,0.86,244954160
2016-03-28,0.86,0.87,0.86,0.87,265388000
2016-03-29,0.87,0.89,0.86,0.88,261810640
2016-03-30,0.89,0.91,0.89,0.89,376698960
2016-03-31,0.9,0.9,0.88,0.89,379882080
2016-04-01,0.89,0.9,0.88,0.9,348292760
2016-04-04,0.91,0.92,0.89,0.9,393942040
2016-04-05,0.89,0.9,0.88,0.89,339568600
2016-04-06,0.88,0.9,0.87,0.9,453375160
2016-04-07,0.89,0.9,0.88,0.89,378105760
2016-04-08,0.89,0.9,0.88,0.89,255934920
2016-04-11,0.9,0.91,0.89,0.9,387523920
2016-04-12,0.9,0.9,0.88,0.9,292763080
2016-04-13,0.9,0.92,0.9,0.92,350714440
2016-04-14,0.92,0.93,0.91,0.92,416565240
2016-04-15,0.92,0.94,0.92,0.93,436970920
2016-04-18,0.93,0.93,0.92,0.92,307321760
